芭贰老磊,芭贰矫埃,瘤开,楷丰盔,惯傈樊(MWh)
2023-12-20,19,腊瘤,浅仿,938.288371
2023-12-20,20,腊瘤,浅仿,947.112926
2023-12-20,21,腊瘤,浅仿,929.686662
2023-12-20,22,腊瘤,浅仿,938.15639
2023-12-20,23,腊瘤,浅仿,892.692539
2023-12-20,24,腊瘤,浅仿,831.279211
2023-12-21,1,腊瘤,浅仿,787.552122
2023-12-21,2,腊瘤,浅仿,722.291026
2023-12-21,3,腊瘤,浅仿,664.486493
2023-12-21,4,腊瘤,浅仿,654.960223
2023-12-21,5,腊瘤,浅仿,775.03682
2023-12-21,6,腊瘤,浅仿,774.29532
2023-12-21,7,腊瘤,浅仿,724.202486
2023-12-21,8,腊瘤,浅仿,652.223908
2023-12-21,9,腊瘤,浅仿,605.740955
2023-12-21,10,腊瘤,浅仿,669.066346
2023-12-21,11,腊瘤,浅仿,623.220989
2023-12-21,12,腊瘤,浅仿,611.255507
2023-12-21,13,腊瘤,浅仿,629.735797
2023-12-21,14,腊瘤,浅仿,647.337021
2023-12-21,15,腊瘤,浅仿,623.537692
2023-12-21,16,腊瘤,浅仿,626.060344
2023-12-21,17,腊瘤,浅仿,640.541887
2023-12-21,18,腊瘤,浅仿,625.033551
2023-12-21,19,腊瘤,浅仿,597.71667
2023-12-21,20,腊瘤,浅仿,590.055524
2023-12-21,21,腊瘤,浅仿,624.182499
2023-12-21,22,腊瘤,浅仿,656.262272
2023-12-21,23,腊瘤,浅仿,664.155313
2023-12-21,24,腊瘤,浅仿,713.946535
2023-12-22,1,腊瘤,浅仿,687.478036
2023-12-22,2,腊瘤,浅仿,686.254108
2023-12-22,3,腊瘤,浅仿,693.597418
2023-12-22,4,腊瘤,浅仿,706.558855
2023-12-22,5,腊瘤,浅仿,694.181348
2023-12-22,6,腊瘤,浅仿,692.204257
2023-12-22,7,腊瘤,浅仿,693.243976
2023-12-22,8,腊瘤,浅仿,685.814092
2023-12-22,9,腊瘤,浅仿,621.964365
2023-12-22,10,腊瘤,浅仿,660.977975
2023-12-22,11,腊瘤,浅仿,676.356826
2023-12-22,12,腊瘤,浅仿,625.97192
2023-12-22,13,腊瘤,浅仿,554.601502
2023-12-22,14,腊瘤,浅仿,567.469691
2023-12-22,15,腊瘤,浅仿,559.58156
2023-12-22,16,腊瘤,浅仿,613.715461
2023-12-22,17,腊瘤,浅仿,610.255631
2023-12-22,18,腊瘤,浅仿,666.220322
2023-12-22,19,腊瘤,浅仿,680.698329
2023-12-22,20,腊瘤,浅仿,648.898283
2023-12-22,21,腊瘤,浅仿,613.204711
2023-12-22,22,腊瘤,浅仿,582.389715
2023-12-22,23,腊瘤,浅仿,592.808313
2023-12-22,24,腊瘤,浅仿,585.462463
2023-12-23,1,腊瘤,浅仿,621.242054
2023-12-23,2,腊瘤,浅仿,663.942102
2023-12-23,3,腊瘤,浅仿,638.932266
2023-12-23,4,腊瘤,浅仿,626.315089
2023-12-23,5,腊瘤,浅仿,634.620119
2023-12-23,6,腊瘤,浅仿,623.678754
2023-12-23,7,腊瘤,浅仿,614.380569
2023-12-23,8,腊瘤,浅仿,614.090823
2023-12-23,9,腊瘤,浅仿,535.670727
2023-12-23,10,腊瘤,浅仿,549.885327
2023-12-23,11,腊瘤,浅仿,443.905418
2023-12-23,12,腊瘤,浅仿,386.46398
2023-12-23,13,腊瘤,浅仿,362.255882
2023-12-23,14,腊瘤,浅仿,327.448988
2023-12-23,15,腊瘤,浅仿,316.155071
2023-12-23,16,腊瘤,浅仿,321.834296
2023-12-23,17,腊瘤,浅仿,331.122415
2023-12-23,18,腊瘤,浅仿,335.969761
2023-12-23,19,腊瘤,浅仿,358.379463
2023-12-23,20,腊瘤,浅仿,384.622681
2023-12-23,21,腊瘤,浅仿,341.819876
2023-12-23,22,腊瘤,浅仿,305.317617
2023-12-23,23,腊瘤,浅仿,291.679419
