날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2024-04-10,17.187,15.699,28.887,21.142,11.411,8.257,9.071,11.012,22.87,37.655,40.346,38.811,28.518,23.732,23.456,18.572,18.513,15.516,12.713,8.736,8.174,6.584,14.659,21.213
2024-04-11,19.322,21.714,11.629,15.712,12.317,8.657,14.206,49.342,54.064,43.117,33.147,56.29,62.157,36.049,35.613,31.836,19.418,9.194,10.867,5.999,25.843,31.583,34.947,30.598
2024-04-12,25.624,14.367,7.633,3.407,3.972,2.389,1.92,3.372,4.154,4.165,7.364,12.66,18.909,22.911,21.01,17.471,8.14,9.745,9.413,6.635,4.162,3.65,1.311,0.157
2024-04-13,0.052,0.162,0.194,0.63,0.229,0.2,0.377,0.041,0.059,0.468,3.858,6.465,5.323,10.852,10.152,8.831,7.529,4.422,4.142,4.545,5.598,8.802,12.701,29.653
2024-04-14,31.298,28.72,21.744,27.594,22.622,18.894,30.382,20.633,43.798,87.707,124.028,131.64,138.304,128.279,132.208,122.585,118.632,105.827,111.298,158.305,175.065,180.653,201.128,206.264
2024-04-15,221.283,208.303,202.782,221.395,186.734,179.987,190.241,135.702,160.967,167.141,108.149,65.339,28.432,26.515,33.815,33.817,43.123,36.515,70.051,92.868,61.207,46.386,30.103,27.174
2024-04-16,12.769,14.199,8.381,4.419,3.633,2.736,17.22,7.507,9.533,6.565,8.989,17.613,17.567,21.438,21.598,29.827,33.355,49.996,51.575,62.883,65.55,51.018,39.026,37.968
2024-04-17,29.324,26.333,7.351,3.735,6.303,5.751,8.983,8.584,5.927,5.371,2.774,5.222,4.63,1.497,2.33,2.732,0.983,0.978,0.191,0.146,0.167,0.366,2.627,5.971
2024-04-18,13.086,39.325,68.35,67.057,71.799,61.675,58.063,57.216,51.974,62.587,39.827,22.231,14.713,13.806,31.879,62.433,36.536,25.164,22.213,16.179,17.049,25.444,25.659,30.017
2024-04-19,34.413,23.639,13.23,7.058,3.259,2.679,0.866,1.769,1.593,1.745,0.729,1.356,3.065,12.426,16.08,8.434,12.298,16.91,34.364,55.659,68.168,78.93,74.039,58.158
2024-04-20,91.593,92.534,68.82,68.956,92.631,174.761,205.626,200.294,196.984,186.969,172.505,163.547,106.907,83.619,70.869,43.277,26.383,37.449,26.868,26.408,18.657,19.614,20.609,18.998
2024-04-21,14.053,8.191,4.009,8.057,10.328,7.983,1.953,0.686,0.114,0.171,0.374,0.61,0.232,0.099,0.078,0.077,1.042,3.552,5.432,3.88,15.009,13.12,9.543,4.266
2024-04-22,4.741,8.883,9.889,13.845,20.064,23.532,24.299,33.076,49.04,53.155,43.209,35.476,39.19,55.185,60.632,81.239,76.239,89.828,102.225,90.013,84.931,76.844,70.461,69.607
2024-04-23,71.587,68.167,70.508,72.738,79.049,86.122,94.827,99.856,91.407,97.941,95.241,96.904,89.849,79.755,74.936,58.279,35.546,40.221,46.44,33.247,19.922,12.252,10.931,9.732
2024-04-24,16.018,6.554,2.29,2.629,4.502,4.29,10.704,49.191,104.144,118.008,60.42,29.029,23.139,82.729,120.472,105.263,110.779,95.079,68.173,42.757,39.966,32.893,25.653,26.559
2024-04-25,42.3,45.884,53.202,78.266,55.336,50.403,35.569,22.755,12.506,10.426,5.196,5.198,3.993,5.891,5.965,7.346,3.585,1.484,1.129,0.305,0.078,0.369,1.549,0.853
2024-04-26,4.395,3.64,0.476,0.243,0.423,1.845,5.297,9.839,13.063,8.901,0.564,0.107,0.761,0.257,0.551,8.633,8.926,8.954,5.384,1.914,0.846,0.042,0.319,1.468
2024-04-27,1.513,0.311,0.797,5.99,12.133,18.701,20.992,4.759,1.806,7.474,10.446,6.763,4.263,5.556,2.454,0.959,2.559,2.348,0.961,2.043,3.383,6.417,7.529,3.565
2024-04-28,0.46,0.398,0.314,0.782,2.029,0.914,0.042,0.287,4.432,19.704,29.937,30.736,22.418,22.086,11.467,6.425,10.182,12.321,13.89,11.685,10.449,12.198,17.401,34.473
2024-04-29,76.179,94.004,61.919,50.658,44.761,38.437,21.307,47.3,21.582,39.552,44.147,54.91,57.897,86.489,82.323,67.991,72.859,78.886,82.747,108.647,133.842,144.738,123.246,81.884
2024-04-30,69.354,50.956,18.58,20.918,18.164,17.81,17.961,13.822,42.209,33.417,19.955,32.451,63.984,61.155,35.907,31.486,28.677,52.195,57.139,54.11,31.455,34.949,36.328,26.914
2024-05-01,25.612,33.747,29.62,22.873,32.869,35.437,35.624,20.184,12.5,59.586,104.151,108.735,85.256,80.891,68.412,82.316,71.464,54.902,44.84,47.274,55.552,54.207,44.498,40.167
2024-05-02,57.945,48.556,32.594,61.669,55.813,48.231,57.591,65.241,68.078,65.145,49.883,9.497,10.474,9.586,22.714,29.454,28.513,20.765,18.522,25.121,19.708,16.921,19.535,22.197
2024-05-03,35.319,46.442,44.211,39.307,51.203,46.61,50.324,33.65,21.941,20.976,28.841,11.077,4.508,10.229,15.045,16.187,23.563,21.599,12.985,1.943,1.563,7.697,9.834,3.528
2024-05-04,4.23,1.212,1.436,4.048,8.665,14.49,31.647,34.185,37.9,56.078,81.615,89.974,90.572,99.204,100.294,110.63,116.903,120.788,126.378,116.528,165.136,187.366,176.27,184.022
2024-05-05,175.189,187.192,200.192,222.079,248.294,240.541,225.878,238.48,214.862,209.098,229.447,224.292,249.093,235.359,218.987,233.19,241.54,249.946,228.148,230.473,197.946,141.951,94.035,60.837
2024-05-06,28.882,27.215,45.907,50.149,54.627,70.678,48.822,23.342,19.043,26.507,33.206,37.803,27.157,22.201,31.55,18.271,25.45,21.324,21.892,40.228,31.414,54.602,49.963,46.103
